,0
0,Alabama
1,Alaska
2,Arizona
3,Arkansas
4,Connecticut
5,Delaware
6,Hawaii
7,Idaho
8,Illinois
9,Iowa
10,Kansas
11,Kentucky
12,Louisiana
13,Maine
14,Maryland
15,Massachusetts
16,Michigan
17,Mississippi
18,Missouri
19,Montana
20,Nebraska
21,Nevada
22,New Hampshire
23,New Jersey
24,New Mexico
25,North Carolina
26,North Dakota
27,Oregon
28,Pennsylvania
29,Rhode Island
30,South Carolina
31,South Dakota
32,Tennessee
33,Texas
34,Vermont
35,Virginia
36,West Virginia
37,Wisconsin
38,Wyoming
